clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
Qin Lin,Qin Lin,Qin,Lin,Cleveland State University,https://qinlincmu.github.io,-HX_b_0AAAAJ,\N
Qin Liu,Qin Liu 0001,Qin,Liu,Hunan University,https://sites.google.com/site/qinliuusa,2zTr37gAAAAJ,\N
Qin Lu,Qin Lu 0001,Qin,Lu,The Hong Kong Polytechnic University,http://www4.comp.polyu.edu.hk/~csluqin,Dk7iM5sAAAAJ,\N
Qin Lv,Qin Lv,Qin,Lv,University of Colorado Boulder,https://www.cs.colorado.edu/~lv,dTkWR0MAAAAJ,\N
Qin Zhang,Qin Zhang 0001,Qin,Zhang,Indiana University,http://homes.soic.indiana.edu/qzhangcs,21hVxuUAAAAJ,\N
Qin Zhang ,Qin Zhang 0011,Qin,Zhang ,Shenzhen University,https://bigdata.szu.edu.cn/info/1010/1202.htm,l4oNAU0AAAAJ,\N
Qin-Ping Zhao,Qin-Ping Zhao,Qin-Ping,Zhao,Beihang University,http://scse.buaa.edu.cn/info/1084/2894.htm,NOSCHOLARPAGE,\N
Qinfeng (Javen) Shi,Qinfeng (Javen) Shi,Qinfeng,Shi,University of Adelaide,https://cs.adelaide.edu.au/~javen,h6O9vYkAAAAJ,(Javen)
Qinfeng Shi,Qinfeng Shi,Qinfeng,Shi,University of Adelaide,https://cs.adelaide.edu.au/~javen,h6O9vYkAAAAJ,\N
Qing Cao,Qing Cao 0001,Qing,Cao,University of Tennessee,http://web.eecs.utk.edu/~qcao1,7WYOBKkAAAAJ,\N
Qing Charles Cao,Qing Charles Cao,Qing,Cao,University of Tennessee,http://web.eecs.utk.edu/~qcao1,7WYOBKkAAAAJ,Charles
Qing Chen,Qing Chen 0001,Qing,Chen,Tongji University,https://tjdi.tongji.edu.cn/TeacherDetail.do?id=5056&lang=en,fqK3E0oAAAAJ,\N
Qing Gu,Qing Gu,Qing,Gu,Nanjing University,https://www.facebook.com/public/Qing-Gu/city/Shanghai-China-106324046073002,4X1iP8IAAAAJ,\N
Qing Guan,Qing Guan,Qing,Guan,UESTC,https://www.is.uestc.edu.cn/teachers.do?id=1052,NOSCHOLARPAGE,\N
Qing He,Qing He 0003,Qing,He,Chinese Academy of Sciences,http://people.ucas.edu.cn/~0000964?language=en,zT-zZucAAAAJ,\N
Qing Hu,Qing Hu,Qing,Hu,Massachusetts Institute of Technology,http://www.rle.mit.edu/thz/people/qing-hu,wYOf7YQAAAAJ,\N
Qing Li,Qing Li 0001,Qing,Li,The Hong Kong Polytechnic University,https://www.comp.polyu.edu.hk/en-us/staffs/detail/7394,D1LEg-YAAAAJ,\N
Qing Liao,Qing Liao 0001,Qing,Liao,Harbin Institute of Technology,http://liaoqing.me,umEIUwwAAAAJ,\N
Qing Ling,Qing Ling 0001,Qing,Ling,Sun Yat-sen University,http://home.ustc.edu.cn/~qingling,u70vRDYAAAAJ,\N
Qing Qu,Qing Qu 0001,Qing,Qu,University of Michigan,https://qingqu.engin.umich.edu,JfblW3MAAAAJ,\N
Qing Wang,Qing Wang 0001,Qing,Wang,Chinese Academy of Sciences,http://people.ucas.ac.cn/~wangqing,t1DbhhoAAAAJ,\N
