clean_name,full_name,first_name,surname,affiliation,homepage,scholar,middle_name
A Min Tjoa,A Min Tjoa,A,Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,Min
A. Akbari Azirani,A. Akbari Azirani,A.,Azirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,Akbari
A. Akbariazirani,A. Akbariazirani,A.,Akbariazirani,IUST,http://ce.iust.ac.ir/page.php?slct_pg_id=6537&sid=14&slc_lang=en,pCil4_cAAAAJ,\N
A. Aldo Faisal,A. Aldo Faisal,A.,Faisal,Imperial College London,https://www.imperial.ac.uk/people/a.faisal,WjHjbrwAAAAJ,Aldo
A. Antony Franklin,A. Antony Franklin,A.,Franklin,IIT Hyderabad,http://www.iith.ac.in/~antony/index.html,LVfqLuoAAAAJ,Antony
A. B. M. Alim Al Islam,A. B. M. Alim Al Islam,A.,Islam,BUET,https://sites.google.com/site/abmalimalislam,K-AIPzQAAAAJ,B. M. Alim Al
A. B. Siddique,A. B. Siddique 0001,A.,Siddique,University of Kentucky,http://cs.uky.edu/~siddique,pVnchfsAAAAJ,B.
A. B. van der Merwe,A. B. van der Merwe,A.,Merwe,Stellenbosch University,http://www.cs.sun.ac.za/~abvdm,TKlHqnMAAAAJ,B. van der
A. Baskar,A. Baskar,A.,Baskar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/abaskar/profile,mNpOTuEAAAAJ,\N
A. C. Cem Say,A. C. Cem Say,A.,Say,Boğaziçi University,https://www.cmpe.boun.edu.tr/~say,rOum2XsAAAAJ,C. Cem
A. C. W. Finkelstein,A. C. W. Finkelstein,A.,Finkelstein,City University of London,https://finkelstein.uk,n8xuCVkAAAAJ,C. W.
A. Cüneyd Tantug,A. Cüneyd Tantug,A.,Tantug,Istanbul Technical University,http://tantug.com,TTawdWMAAAAJ,Cüneyd
A. D. Fekete,A. D. Fekete,A.,Fekete,University of Sydney,https://sydney.edu.au/engineering/it/~fekete,Hs9cVRgAAAAJ,D.
A. David Marshall,A. David Marshall,A.,Marshall,Cardiff University,https://www.cardiff.ac.uk/people/view/118142-marshall-david,7HJzGQYAAAAJ,David
A. E. Eiben,A. E. Eiben,A.,Eiben,VU Amsterdam,http://www.cs.vu.nl/~gusz,NMuDAe0AAAAJ,E.
A. Ercüment Çiçek,A. Ercüment Çiçek,A.,Çiçek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,Ercüment
A. I. Ovchinnikov,A. I. Ovchinnikov,A.,Ovchinnikov,CUNY,http://qcpages.qc.cuny.edu/~aovchinnikov,JmOotdkAAAAJ,I.
A. J. Field,A. J. Field,A.,Field,Imperial College London,http://wp.doc.ic.ac.uk/ajf,rn3Lg2wAAAAJ,J.
A. J. H. Hidders,A. J. H. Hidders,A.,Hidders,Birkbeck University of London,https://www.dcs.bbk.ac.uk/about/people/academic-staff/hidders-jan,EHD4dXkAAAAJ,J. H.
A. J. Jansen,A. J. Jansen,A.,Jansen,CWI,http://homepages.cwi.nl/~jack,qHiBTg0AAAAJ,J.
A. J. Kfoury,A. J. Kfoury,A.,Kfoury,Boston University,http://www.cs.bu.edu/~kfoury,VpdYemsAAAAJ,J.
A. J. Ko,A. J. Ko 0001,A.,Ko,University of Washington,http://faculty.washington.edu/ajko,otmdDLoAAAAJ,J.
A. Jefferson Offutt,A. Jefferson Offutt,A.,Offutt,George Mason University,http://cs.gmu.edu/~offutt,fAeRp3kAAAAJ,Jefferson
A. John Power,A. John Power,A.,Power,University of Bath,http://www.bath.ac.uk/comp-sci/contacts/academics/john_power,mCvZPDn8heUC,John
A. K. McIver,A. K. McIver,A.,McIver,Macquarie University,https://researchers.mq.edu.au/en/persons/annabelle-mciver,9fvUO9QAAAAJ,K.
A. M. A. Hemmatyar,A. M. A. Hemmatyar,A.,Hemmatyar,Sharif University of Technology,http://sharif.edu/~hemmatyar,NOSCHOLARPAGE,M. A.
A. Min Tjoa,A. Min Tjoa,A.,Tjoa,TU Wien,http://www.ifs.tuwien.ac.at/tjoa,x8qCMhcAAAAJ,Min
A. Mokhade,A. Mokhade,A.,Mokhade,VNIT Nagpur,https://vnit.ac.in/engineering/cse/dr-a-s-mokhade,OS8D5xkAAAAJ,\N
A. Murat Ozbayoglu,A. Murat Ozbayoglu,A.,Ozbayoglu,TOBB ETÜ,http://mozbayoglu.etu.edu.tr,rNLLqKoAAAAJ,Murat
A. Neil Arnason,A. Neil Arnason,A.,Arnason,University of Manitoba,http://www.cs.umanitoba.ca/~arnason,NOSCHOLARPAGE,Neil
A. P. Sarath Chandar,A. P. Sarath Chandar,A.,Chandar,Polytechnique Montreal,http://sarathchandar.in,yxWtZLAAAAAJ,P. Sarath
A. P. Vinod,A. P. Vinod 0001,A.,Vinod,Nanyang Technological University,http://www.ntu.edu.sg/home/asvinod,NOSCHOLARPAGE,P.
A. Pavan,A. Pavan 0001,A.,Pavan,Iowa State University,http://www.cs.iastate.edu/people/pavan-aduri,4QIV0FUAAAAJ,\N
A. Prasad Sistla,A. Prasad Sistla,A.,Sistla,University of Illinois at Chicago,https://www.cs.uic.edu/Sistla,NOSCHOLARPAGE,Prasad
A. Rau-Chaplin,A. Rau-Chaplin,A.,Rau-Chaplin,Dalhousie University,https://www.cs.dal.ca/~arc,NOSCHOLARPAGE,\N
A. Robert Calderbank,A. Robert Calderbank,A.,Calderbank,Duke University,https://ece.duke.edu/faculty/robert-calderbank,XtUBAtwAAAAJ,Robert
A. Rupam Mahmood,A. Rupam Mahmood,A.,Mahmood,University of Alberta,https://armahmood.github.io,YwB8XM4AAAAJ,Rupam
A. S. M. Hoque,A. S. M. Hoque,A.,Hoque,BUET,https://cse.buet.ac.bd/faculty_list/detail/asmlatifulhoque,3-Sb7tMAAAAJ,S. M.
A. S. Madhukumar,A. S. Madhukumar,A.,Madhukumar,Nanyang Technological University,http://www3.ntu.edu.sg/home/asmadhukumar,mF-F-zkAAAAJ,S.
A. S. Nemirovskii,A. S. Nemirovskii 0001,A.,Nemirovskii,Georgia Institute of Technology,https://www.isye.gatech.edu/users/arkadi-nemirovski,3QxoymwAAAAJ,S.
A. Selcuk Uluagac,A. Selcuk Uluagac,A.,Uluagac,Florida International University,http://nweb.eng.fiu.edu/selcuk,tcK62uAAAAAJ,Selcuk
A. Sima Etaner-Uyar,A. Sima Etaner-Uyar,A.,Etaner-Uyar,Istanbul Technical University,http://akademi.itu.edu.tr/en/etaner,qvxemZwAAAAJ,Sima
A. T. Burrell,A. T. Burrell,A.,Burrell,Oklahoma State University,https://cs.okstate.edu/~tburrell,NOSCHOLARPAGE,T.
A. T. Chamillard,A. T. Chamillard,A.,Chamillard,UCCS,http://www.uccs.edu/cs/about/faculty/tim-chamillard.html,NOSCHOLARPAGE,T.
A. Taylan Cemgil,A. Taylan Cemgil,A.,Cemgil,Boğaziçi University,https://www.cmpe.boun.edu.tr/~cemgil,X3ZFZ7AAAAAJ,Taylan
A. Th. Schreiber,A. Th. Schreiber,A.,Schreiber,VU Amsterdam,http://www.cs.vu.nl/~guus,lRZKdMYAAAAJ,Th.
A. Udaya Shankar,A. Udaya Shankar,A.,Shankar,University of Maryland - College Park,https://www.cs.umd.edu/users/shankar,NOSCHOLARPAGE,Udaya
A. V. Sreejith,A. V. Sreejith,A.,Sreejith,IIT Goa,https://www.iitgoa.ac.in/~sreejithav,6LVNqAMAAAAJ,V.
A. V. Subramanyam,A. V. Subramanyam,A.,Subramanyam,IIIT Delhi,http://www.iiitd.ac.in/subramanyam,B0Hy8NkAAAAJ,V.
A. W. Roscoe,A. W. Roscoe 0001,A.,Roscoe,University of Oxford,http://www.cs.ox.ac.uk/bill.roscoe,miixtKcAAAAJ,W.
A. Yurdakul,A. Yurdakul,A.,Yurdakul,Boğaziçi University,https://www.cmpe.boun.edu.tr/~yurdakul,6UUbTP4AAAAJ,\N
Aaditeshwar Seth,Aaditeshwar Seth,Aaditeshwar,Seth,IIT Delhi,http://www.cse.iitd.ernet.in/~aseth,XpOIYBoAAAAJ,\N
Aamena Al Shamsi,Aamena Al Shamsi,Aamena,Shamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,Al
Aamena Alshamsi,Aamena Alshamsi,Aamena,Alshamsi,Masdar Institute,https://www.masdar.ac.ae/aboutus/management/faculty-directory/item/6602-aamena-ali-al-shamsi,45uuU3gAAAAJ,\N
Aamir Cheema,Aamir Cheema,Aamir,Cheema,Monash University,http://www.aamircheema.com,chWbG70AAAAJ,\N
Aanjhan Ranganathan,Aanjhan Ranganathan,Aanjhan,Ranganathan,Northeastern University,https://www.aanjhan.com,Jid_EAkAAAAJ,\N
Aapo Hyvärinen,Aapo Hyvärinen,Aapo,Hyvärinen,University of Helsinki,https://www.cs.helsinki.fi/u/ahyvarin,UnrY-40AAAAJ,\N
Aarne Ranta,Aarne Ranta,Aarne,Ranta,Chalmers/GU,https://www.chalmers.se/en/staff/Pages/aarne-ranta.aspx,NOSCHOLARPAGE,\N
Aaron Bernstein,Aaron Bernstein,Aaron,Bernstein,New York University,https://wp.nyu.edu/tandonschoolofengineering-aaronbernstein,N94spO0AAAAJ,\N
Aaron Bobick,Aaron Bobick,Aaron,Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,\N
Aaron C. Courville,Aaron C. Courville,Aaron,Courville,University of Montreal,https://aaroncourville.wordpress.com,km6CP8cAAAAJ,C.
Aaron Chen,Aaron Chen 0001,Aaron,Chen,Victoria University of Wellington,https://ecs.victoria.ac.nz/Main/AaronChen,YLB6tnwAAAAJ,\N
Aaron Clauset,Aaron Clauset,Aaron,Clauset,University of Colorado Boulder,https://www.colorado.edu/faculty/clauset,e7VI_HcAAAAJ,\N
Aaron D. Striegel,Aaron D. Striegel,Aaron,Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,D.
Aaron F. Bobick,Aaron F. Bobick,Aaron,Bobick,Washington University in St. Louis,https://engineering.wustl.edu/faculty/Aaron-Bobick.html,rynvwScAAAAJ,F.
Aaron Henry Potechin,Aaron Henry Potechin,Aaron,Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,Henry
Aaron J. Elmore,Aaron J. Elmore,Aaron,Elmore,University of Chicago,http://people.cs.uchicago.edu/~aelmore,bEXfdkoAAAAJ,J.
Aaron Leon Roth,Aaron Leon Roth,Aaron,Roth,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,Leon
Aaron M. Dollar,Aaron M. Dollar,Aaron,Dollar,Yale University,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,jFekO3IAAAAJ,M.
Aaron McFadyen,Aaron McFadyen,Aaron,McFadyen,Queensland University of Technology,https://research.qut.edu.au/qcr/people/aaron-mcfadyen,vXjZnIkAAAAJ,\N
Aaron Potechin,Aaron Potechin,Aaron,Potechin,University of Chicago,http://www.potechin.org/aaronpotechin,z28rttMAAAAJ,\N
Aaron Roth,Aaron Roth 0001,Aaron,Roth,University of Pennsylvania,http://www.cis.upenn.edu/~aaroth,kLUQrrYAAAAJ,\N
Aaron Schulman,Aaron Schulman,Aaron,Schulman,Univ. of California - San Diego,http://cseweb.ucsd.edu/~schulman,OP27m34AAAAJ,\N
Aaron Sidford,Aaron Sidford,Aaron,Sidford,Stanford University,http://www.aaronsidford.com,SWqd2rgAAAAJ,\N
Aaron Steven White,Aaron Steven White,Aaron,White,University of Rochester,http://aaronstevenwhite.io,R-ZVWNEAAAAJ,Steven
Aaron Striegel,Aaron Striegel,Aaron,Striegel,University of Notre Dame,https://engineering.nd.edu/profiles/astriegel,w88NouMAAAAJ,\N
Aaron Stump,Aaron Stump,Aaron,Stump,University of Iowa,https://www.cs.uiowa.edu/~astump,568MtVQAAAAJ,\N
Aaron Visaggio,Aaron Visaggio,Aaron,Visaggio,University of Sannio,https://www.unisannio.it/it/users/corrado-aaron-visaggio,bNMLhsIAAAAJ,\N
Aart Middeldorp,Aart Middeldorp,Aart,Middeldorp,University of Innsbruck,http://cl-informatik.uibk.ac.at/users/ami,R9MO_3AAAAAJ,\N
Aarti Gupta,Aarti Gupta,Aarti,Gupta,Princeton University,https://www.cs.princeton.edu/people/profile/aartig,S_jYB2sAAAAJ,\N
Aarti Sathyanarayana,Aarti Sathyanarayana,Aarti,Sathyanarayana,Northeastern University,https://www.aartisathyanarayana.org,gIvDmmEAAAAJ,\N
Aarti Singh,Aarti Singh,Aarti,Singh,Carnegie Mellon University,http://www.cs.cmu.edu/~aarti,6jP3ZSEAAAAJ,\N
Aasa Feragen,Aasa Feragen,Aasa,Feragen,DTU,http://www2.compute.dtu.dk/~afhar,MNDVpoUAAAAJ,\N
Aastha Mehta,Aastha Mehta,Aastha,Mehta,University of British Columbia,https://aasthakm.github.io,l1jObzoAAAAJ,\N
Aayush Jain,Aayush Jain,Aayush,Jain,Carnegie Mellon University,https://sites.google.com/view/aayushjain,VZ6S70MAAAAJ,\N
Abbas Edalat,Abbas Edalat,Abbas,Edalat,Imperial College London,https://www.doc.ic.ac.uk/~ae,KP1AXgwAAAAJ,\N
Abbas Heydarnoori,Abbas Heydarnoori,Abbas,Heydarnoori,Sharif University of Technology,http://sharif.edu/~heydarnoori,s5vgK3kAAAAJ,\N
Abbe Mowshowitz,Abbe Mowshowitz,Abbe,Mowshowitz,CUNY,https://www.ccny.cuny.edu/profiles/abbe-mowshowitz,KwmExSIAAAAJ,\N
Abbes Amira,Abbes Amira,Abbes,Amira,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abbes.php,yp_wQZMAAAAJ,\N
Abby Stylianou,Abby Stylianou,Abby,Stylianou,Saint Louis University,https://cs.slu.edu/people/stylianou,mNoB9SgAAAAJ,\N
Abdallah Saffidine,Abdallah Saffidine,Abdallah,Saffidine,UNSW,http://www.cse.unsw.edu.au/~abdallahs,yWzT7LAAAAAJ,\N
Abdel Latif Abu Dalhoum,Abdel Latif Abu Dalhoum,Abdel,Dalhoum,University of Jordan,http://eacademic.ju.edu.jo/a.latif,zXiv9G8AAAAJ,Latif Abu
AbdelRahman Abdou,AbdelRahman Abdou,AbdelRahman,Abdou,Carleton University,http://people.scs.carleton.ca/~abdou,qEl1DpQAAAAJ,\N
Abdelaziz Bouras,Abdelaziz Bouras,Abdelaziz,Bouras,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdelaziz_bouras.php,QKaJ_JgAAAAJ,\N
Abdelfattah Amamra,Abdelfattah Amamra,Abdelfattah,Amamra,University of Connecticut,http://www.cse.uconn.edu/people/faculty,cXl_OFIAAAAJ,\N
Abdelhakim Hafid,Abdelhakim Hafid,Abdelhakim,Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,\N
Abdelhakim Senhaji Hafid,Abdelhakim Senhaji Hafid,Abdelhakim,Hafid,University of Montreal,http://www.iro.umontreal.ca/~ahafid,NOSCHOLARPAGE,Senhaji
Abdelkarim Erradi,Abdelkarim Erradi,Abdelkarim,Erradi,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/erradi.php,2VhGiuAAAAAJ,\N
Abdelmounaam Rezgui,Abdelmounaam Rezgui,Abdelmounaam,Rezgui,New Mexico Tech,http://nmt.edu/academics/compsci/faculty/arezgui.php,QUuC8lAAAAAJ,\N
Abdelsalam (Sumi) Helal,Abdelsalam (Sumi) Helal,Abdelsalam,Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,(Sumi)
Abdelsalam Helal,Abdelsalam Helal,Abdelsalam,Helal,University of Florida,http://www.cise.ufl.edu/~helal,NOSCHOLARPAGE,\N
Abdeltawab M. A. Hendawi,Abdeltawab M. A. Hendawi,Abdeltawab,Hendawi,University of Rhode Island,https://homepage.cs.uri.edu/~ahendawi,ad3Gki4AAAAJ,M. A.
Abdeslam Boularias,Abdeslam Boularias,Abdeslam,Boularias,Rutgers University,http://www.abdeslam.net,8AF3RCsAAAAJ,\N
Abdol-Hossein Esfahanian,Abdol-Hossein Esfahanian,Abdol-Hossein,Esfahanian,Michigan State University,http://www.cse.msu.edu/~esfahani,NOSCHOLARPAGE,\N
Abdolahad Noori Zehmakan,Abdolahad Noori Zehmakan,Abdolahad,Zehmakan,Australian National University,https://comp.anu.edu.au/people/ahad-zehmakan,bB3qVuEAAAAJ,Noori
Abdolreza Abhari,Abdolreza Abhari,Abdolreza,Abhari,Toronto Metropolitan University,https://www.scs.torontomu.ca/~aabhari,V8hkFhcAAAAJ,\N
Abdou S. Youssef,Abdou S. Youssef,Abdou,Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE,S.
Abdou Youssef,Abdou Youssef,Abdou,Youssef,George Washington University,https://www.seas.gwu.edu/~ayoussef,NOSCHOLARPAGE,\N
Abdoulaye Baniré Diallo,Abdoulaye Baniré Diallo,Abdoulaye,Diallo,Université du Québec à Montréal,https://professeurs.uqam.ca/professeur/diallo.abdoulaye,NOSCHOLARPAGE,Baniré
Abdul Mohsen Almalawi,Abdul Mohsen Almalawi,Abdul,Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,Mohsen
Abdul Sattar,Abdul Sattar 0001,Abdul,Sattar,Griffith University,https://experts.griffith.edu.au/18511-abdul-sattar,NgPmzMsAAAAJ,\N
Abdul Serwadda,Abdul Serwadda,Abdul,Serwadda,Texas Tech University,http://www.depts.ttu.edu/CS/faculty/faculty.php?name=Abdul%20Serwadda,0YfFzzUAAAAJ,\N
Abdulaziz Ali,Abdulaziz Ali,Abdulaziz,Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,S42RixYAAAAJ,\N
Abdulhakim Qahtan,Abdulhakim Qahtan,Abdulhakim,Qahtan,Utrecht University,https://www.uu.nl/staff/AAAQahtan,8eKzXa8AAAAJ,\N
Abdulla K. Al-Ali,Abdulla K. Al-Ali,Abdulla,Al-Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,s1LawbAAAAAJ,K.
Abdullah Al Mueen,Abdullah Al Mueen,Abdullah,Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,Al
Abdullah Al Redwan Newaz,Abdullah Al Redwan Newaz,Abdullah,Newaz,University of New Orleans,https://www.uno.edu/profile/faculty/abdullah-al_redwan-newaz,L_ctqf0AAAAJ,Al Redwan
Abdullah Al-Ali,Abdullah Al-Ali,Abdullah,Al-Ali,Qatar University,http://www.qu.edu.qa/engineering/computer/faculty/abdulla_alali.php,s1LawbAAAAAJ,\N
Abdullah Al-Mamun,Abdullah Al-Mamun 0001,Abdullah,Al-Mamun,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=AALMAMUN,PpBDA1cAAAAJ,\N
Abdullah Algarni,Abdullah Algarni,Abdullah,Algarni,King Abdulaziz University,https://www.facebook.com/public/Abdullah-Algarni/school/King-Abdulaziz-University-103095679730320,fQldSpoAAAAJ,\N
Abdullah Basuhail,Abdullah Basuhail,Abdullah,Basuhail,King Abdulaziz University,http://abasuhail.kau.edu.sa/Default.aspx?Site_ID=0012375&lng=EN,NOSCHOLARPAGE,\N
Abdullah Ercument Cicek,Abdullah Ercument Cicek,Abdullah,Cicek,Bilkent University,http://ciceklab.cs.bilkent.edu.tr/ercumentcicek,n25sJzkAAAAJ,Ercument
Abdullah Mueen,Abdullah Mueen,Abdullah,Mueen,University of New Mexico,http://www.cs.unm.edu/~mueen,OImDWloAAAAJ,\N
Abdullah Muzahid,Abdullah Muzahid,Abdullah,Muzahid,Texas A&M University,http://people.tamu.edu/~abdullah.muzahid/index.html,hN7mpGMAAAAJ,\N
Abdullah Uz Tansel,Abdullah Uz Tansel,Abdullah,Tansel,CUNY,https://www.gc.cuny.edu/Page-Elements/Academics-Research-Centers-Initiatives/Doctoral-Programs/Computer-Science/Faculty-Bios/Abdullah-Uz-Tansel,emeq3i8AAAAJ,Uz
Abdullah Yasin Nur,Abdullah Yasin Nur,Abdullah,Nur,University of New Orleans,https://ayasinnur.com,hxKxyYYAAAAJ,Yasin
Abdullah-Al-Zubaer Imran,Abdullah-Al-Zubaer Imran,Abdullah-Al-Zubaer,Imran,University of Kentucky,https://aaz-imran.github.io,HI7UKCIAAAAJ,\N
Abdulmohsen Almalawi,Abdulmohsen Almalawi,Abdulmohsen,Almalawi,King Abdulaziz University,http://balmalowy.kau.edu.sa/CVEn.aspx?Site_ID=0008859&Lng=EN,XxBxuykAAAAJ,\N
Abdulmotaleb El-Saddik,Abdulmotaleb El-Saddik,Abdulmotaleb,El-Saddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,\N
Abdulmotaleb Elsaddik,Abdulmotaleb Elsaddik,Abdulmotaleb,Elsaddik,MBZUAI,http://www.site.uottawa.ca/~elsaddik,VcOjgngAAAAJ,\N
Abdulrahman Mahmoud,Abdulrahman Mahmoud,Abdulrahman,Mahmoud,MBZUAI,https://mbzuai.ac.ae/study/faculty/abdulrahman-mahmoud,LRZKQpkAAAAJ,\N
Abe Davis,Abe Davis,Abe,Davis,Cornell University,http://abedavis.com,-Gp8ghkAAAAJ,\N
Abedelaziz Mohaisen,Abedelaziz Mohaisen,Abedelaziz,Mohaisen,University of Central Florida,http://cs.ucf.edu/~mohaisen,q387AywAAAAJ,\N
Abel G. Silva-Filho,Abel G. Silva-Filho,Abel,Silva-Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,G.
Abel G. da Silva Filho,Abel G. da Silva Filho,Abel,Filho,UFPE,https://www.cin.ufpe.br/~agsf,vzHzlxkAAAAJ,G. da Silva
Abel Souza,Abel Souza,Abel,Souza,Univ. of California - Santa Cruz,https://asouza.io,Ino3cIwAAAAJ,\N
Abhaya Kumar Sahoo,Abhaya Kumar Sahoo,Abhaya,Sahoo,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/abhaya-kumar-sahoo,xaOLqGMAAAAJ,Kumar
Abhi Shelat,Abhi Shelat,Abhi,Shelat,Northeastern University,https://shelat.khoury.northeastern.edu,Te94nKAAAAAJ,\N
Abhijeet Ghosh,Abhijeet Ghosh,Abhijeet,Ghosh,Imperial College London,http://www.doc.ic.ac.uk/~ghosh,EG_UZvwAAAAJ,\N
Abhijit Das,Abhijit Das 0004,Abhijit,Das,IIT Kharagpur,http://cse.iitkgp.ac.in/~abhij,vpWPul0AAAAJ,\N
Abhijit Mahalanobis,Abhijit Mahalanobis,Abhijit,Mahalanobis,University of Central Florida,https://www.crcv.ucf.edu/person/abhijit-mahalanobis,L9Y5FbwAAAAJ,\N
Abhijit S. Pandya,Abhijit S. Pandya,Abhijit,Pandya,Florida Atlantic University,http://pire.fiu.edu/faculty/Dr_Pandya.php,NOSCHOLARPAGE,S.
Abhik Roychoudhury,Abhik Roychoudhury,Abhik,Roychoudhury,National University of Singapore,https://www.comp.nus.edu.sg/~abhik,UxFWSJIAAAAJ,\N
Abhilash Jindal,Abhilash Jindal,Abhilash,Jindal,IIT Delhi,http://abhilash-jindal.com,_af8suQAAAAJ,\N
Abhinav Bhatele,Abhinav Bhatele,Abhinav,Bhatele,University of Maryland - College Park,http://www.cs.umd.edu/~bhatele,3x65qtwAAAAJ,\N
Abhinav Dhall,Abhinav Dhall,Abhinav,Dhall,IIT Ropar,http://www.iitrpr.ac.in/cse/abhinavdhall,ypusncAAAAAJ,\N
Abhinav Gupta,Abhinav Gupta 0001,Abhinav,Gupta,Carnegie Mellon University,http://www.cs.cmu.edu/~abhinavg,NOSCHOLARPAGE,\N
Abhinav Kumar Singh,Abhinav Kumar Singh,Abhinav,Singh,University of Southampton,https://www.ecs.soton.ac.uk/people/aks1a19,tkp3t2gAAAAJ,Kumar
Abhinav Shrivastava,Abhinav Shrivastava,Abhinav,Shrivastava,University of Maryland - College Park,http://abhinavsh.info,mIF9BowAAAAJ,\N
Abhinav Verma,Abhinav Verma 0001,Abhinav,Verma,Pennsylvania State University,https://averma8053.github.io,jM1HeCIAAAAJ,\N
Abhir Bhalerao,Abhir Bhalerao,Abhir,Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,\N
Abhir H. Bhalerao,Abhir H. Bhalerao,Abhir,Bhalerao,University of Warwick,https://warwick.ac.uk/fac/sci/dcs/people/abhir_bhalerao,XfBoSP4AAAAJ,H.
Abhiram G. Ranade,Abhiram G. Ranade,Abhiram,Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,G.
Abhiram Ranade,Abhiram Ranade,Abhiram,Ranade,IIT Bombay,https://www.cse.iitb.ac.in/~ranade,lb5ffQ8AAAAJ,\N
Abhisek Chakrabarty,Abhisek Chakrabarty,Abhisek,Chakrabarty,BITS Pilani-Goa,https://abhisek-chakrabarty.github.io,V1Wxp0MAAAAJ,\N
Abhishek Bhattacharjee,Abhishek Bhattacharjee,Abhishek,Bhattacharjee,Yale University,https://cpsc.yale.edu/people/abhishek-bhattacharjee,AopgnHAAAAAJ,\N
Abhishek Bichhawat,Abhishek Bichhawat,Abhishek,Bichhawat,IIT Gandhinagar,https://iitgn.ac.in/faculty/cse/abhishek,qJavKW4AAAAJ,\N
Abhishek Chandra,Abhishek Chandra,Abhishek,Chandra,University of Minnesota,http://www-users.cs.umn.edu/~chandra,hSklLfsAAAAJ,\N
Abhishek Dubey,Abhishek Dubey,Abhishek,Dubey,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=abhishek-dubey,5J3w9OoAAAAJ,\N
Abhishek Gupta,Abhishek Gupta 0008,Abhishek,Gupta,University of Washington,https://abhishekunique.github.io,1wLVDP4AAAAJ,\N
Abhishek Jain,Abhishek Jain 0002,Abhishek,Jain,Johns Hopkins University,https://www.cs.jhu.edu/faculty/abhishek-jain,xjkmJsgAAAAJ,\N
Abhishek Kr Singh,Abhishek Kr Singh,Abhishek,Singh,Tel Aviv University,https://sites.google.com/view/abhishek-singh/home,ps296UkAAAAJ,Kr
Abhishek Mishra,Abhishek Mishra,Abhishek,Mishra,BITS Pilani,http://www.bits-pilani.ac.in/pilani/abhishekmisra/profile,Ayz2rOwAAAAJ,\N
Abhishek Ray,Abhishek Ray,Abhishek,Ray,KIIT Bhubaneswar,https://cse.kiit.ac.in/profiles/abhishek-ray,EdzCjnAAAAAJ,\N
Abhishek Sarkar,Abhishek Sarkar,Abhishek,Sarkar,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/abhishek.sarkar,SV0gEjQAAAAJ,\N
Abhishek Sinha,Abhishek Sinha,Abhishek,Sinha,Tata Inst. of Fundamental Research,https://abhishek-sinha-tifr.github.io,Oc7BRX0AAAAJ,\N
Abhishek Srivastava,Abhishek Srivastava,Abhishek,Srivastava,IIT Indore,http://cse.iiti.ac.in/faculty.html,8DUQgIIAAAAJ,\N
Abhradeep Guha Thakurta,Abhradeep Guha Thakurta,Abhradeep,Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ,Guha
Abhradeep Thakurta,Abhradeep Thakurta,Abhradeep,Thakurta,Univ. of California - Santa Cruz,https://aguhatha.github.io,1rV69hMAAAAJ,\N
Abilio Lucena,Abilio Lucena,Abilio,Lucena,UFRJ,http://www.cos.ufrj.br/index.php/pt-BR/pessoas/details/18/2201-abiliolucena,_YS2DcIAAAAJ,\N
